縣市及鄉鎮市區,總數,室內數,戶外數,室內比例,戶外比例
新北市樹林區,20,20,0,100.0,0.0
新北市永和區,16,16,0,100.0,0.0
新北市汐止區,24,24,0,100.0,0.0
新北市泰山區,16,15,1,93.8,6.2
新北市淡水區,31,31,0,100.0,0.0
新北市深坑區,9,9,0,100.0,0.0
新北市烏來區,7,7,0,100.0,0.0
新北市瑞芳區,21,21,0,100.0,0.0
新北市石碇區,6,6,0,100.0,0.0
新北市石門區,15,14,1,93.3,6.7
新北市萬里區,17,15,2,88.2,11.8
新北市蘆洲區,20,19,1,95.0,5.0
新北市貢寮區,18,18,0,100.0,0.0
新北市金山區,14,11,3,78.6,21.4
新北市雙溪區,12,12,0,100.0,0.0
新北市鶯歌區,15,15,0,100.0,0.0
新竹市北區,13,13,0,100.0,0.0
新竹市東區,30,30,0,100.0,0.0
新竹市香山區,17,17,0,100.0,0.0
新竹縣,1,1,0,100.0,0.0
新竹縣五峰鄉,4,3,1,75.0,25.0
新竹縣北埔鄉,8,8,0,100.0,0.0
新竹縣寶山鄉,10,10,0,100.0,0.0
新竹縣尖石鄉,18,18,0,100.0,0.0
新竹縣峨眉鄉,9,9,0,100.0,0.0
新竹縣新埔鎮,12,12,0,100.0,0.0
新竹縣新豐鄉,13,13,0,100.0,0.0
新竹縣橫山鄉,10,10,0,100.0,0.0
新竹縣湖口鄉,18,18,0,100.0,0.0
新竹縣竹北市,13,13,0,100.0,0.0
新竹縣竹東鎮,10,8,2,80.0,20.0
新竹縣芎林鄉,12,12,0,100.0,0.0
新竹縣關西鎮,13,13,0,100.0,0.0
桃園市中壢區,91,30,61,33.0,67.0
桃園市八德區,74,23,51,31.1,68.9
桃園市大園區,16,16,0,100.0,0.0
桃園市大溪區,22,22,0,100.0,0.0
桃園市平鎮區,50,34,16,68.0,32.0
桃園市復興區,5,5,0,100.0,0.0
桃園市新屋區,1,1,0,100.0,0.0
桃園市桃園區,56,39,17,69.6,30.4
桃園市楊梅區,20,17,3,85.0,15.0
桃園市蘆竹區,20,12,8,60.0,40.0
桃園市觀音區,11,11,0,100.0,0.0
桃園市龍潭區,38,25,13,65.8,34.2
桃園市龜山區,31,29,2,93.5,6.5
澎湖縣望安鄉,1,1,0,100.0,0.0
澎湖縣湖西鄉,13,13,0,100.0,0.0
澎湖縣白沙鄉,2,2,0,100.0,0.0
澎湖縣西嶼鄉,8,8,0,100.0,0.0
澎湖縣馬公市,12,12,0,100.0,0.0
臺中市中區,5,3,2,60.0,40.0
臺中市北區,10,7,3,70.0,30.0
臺中市北屯區,32,13,19,40.6,59.4
臺中市南區,13,5,8,38.5,61.5
臺中市南屯區,10,8,2,80.0,20.0
臺中市后里區,22,22,0,100.0,0.0
臺中市和平區,5,5,0,100.0,0.0
臺中市外埔區,4,4,0,100.0,0.0
臺中市大安區,7,7,0,100.0,0.0
臺中市大甲區,11,9,2,81.8,18.2
臺中市大肚區,14,13,1,92.9,7.1
臺中市大里區,42,21,21,50.0,50.0
臺中市大雅區,20,19,1,95.0,5.0
臺中市太平區,24,11,13,45.8,54.2
臺中市新社區,14,13,1,92.9,7.1
臺中市東勢區,24,22,2,91.7,8.3
臺中市東區,8,7,1,87.5,12.5
臺中市梧棲區,16,12,4,75.0,25.0
